관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
산장관광지,관광지,경기도 가평군 상면 덕현산장길 71 산장관광지,경기도 가평군 상면 덕현리 21,37.754183,127.410629,118040.0,도로+주차장+관리사무소+홍수위관리소,"콘도형펜션 1동, 펜션하우스 5동",조경 식재,"캐라반 12동, 캐라반싸이트, 캠핑장, 야외공연장 등",음식점 및 상가 2동 운영,없음,1977-03-31,2700,156,"1977년에 국민관광지로 지정, 자연경관을 최대한 살린 계곡형 관광지로 개발되었으며, 북한강 지류인 조종천의 맑은 물이 한데 어우러져 경치가 아름답다. 주요 시설로는 야영장과 다양한 숙박시설, 계곡자연풀장이 있다.",031-580-2515,경기도 가평군청 관광과,2025-12-24,4160000,경기도 가평군
대성관광지,관광지,경기도 가평군 청평면 대성강변길 14,경기도 가평군 청평면 대성리 601-3,37.681431,127.379521,262722.0,공중화장실(2동)+안내소운영(1동),"휴양콘도, 가족호텔, 방가로, 펜션","유원시설, 다목적운동장, 족구장 등","선착장 3개, 야영장 등",매점+식당 등 4개소 운영,없음,1968-10-04,1000,25,"경춘가도의 대성리역을 중심으로 북한강변 8만여 평에 이루어져 있으며, 산책로, 피크닉장, 자전거도로가 조성되어 있으며, 여러 편의시설도 들어서 있다. 북한강은 수영이  금지되어 있으며, 보트 등 수상스포츠는 즐길 수 있다.",031-580-2517,경기도 가평군청 관광과,2025-12-24,4160000,경기도 가평군
대관령어흘리관광지,관광지,강원특별자치도 강릉시 성산면 삼포암길 17,강원특별자치도 강릉시 성산면 어흘리 508-2,37.719113,128.7959193,163160.0,화장실+주차장,,,대관령박물관,,,2014-12-26,1000,122,"2014년 163천㎡를 관광지로 지정받아, 도로, 주차장, 안내소, 화장실 등의 공공편익시설, 트리하우스, 게스트하우스 등 숙박·휴양문화시설이 조성",033-640-5685,강원특별자치도 강릉시청,2025-11-20,4201000,강원특별자치도 강릉시
등명해변관광지,관광지,강원특별자치도 강릉시 강동면 정동등명길 2,강원특별자치도 강릉시 강동면 정동진리 440-41,37.70232906,129.0161926,193660.0,화장실+주차장,다우리조텔+민박,레일바이크,정동진시간박물관,,,1997-08-02,600,120,소나무와 해변이 어우러져 아름다운 곳,033-640-5685,강원특별자치도 강릉시청,2025-11-20,4201000,강원특별자치도 강릉시
연곡해변관광지,관광지,강원특별자치도 강릉시 연곡면 해안로 1282,강원특별자치도 강릉시 연곡면 동덕리 99-3,37.85990446,128.8520583,169603.0,관리사무소+화장실+주차장+샤워장,"솔향기캠핑장(캠핑존 127면, 카라반존 8면, 자동차 캠핑존 12면)",,,,,1986-03-12,600,120,"길이 700m, 56000㎡의 넓은 백사장을 간직하고 있다.",033-640-5685,강원특별자치도 강릉시청,2025-11-20,4201000,강원특별자치도 강릉시
주문진해변관광지,관광지,강원특별자치도 강릉시 주문진읍 주문북로 222-30,강원특별자치도 강릉시 주문진읍 향호리 8-22,37.91144947,128.8177557,484200.0,화장실+주차장+샤워장,베네키아호텔,,교직원연수원,,,1984-07-06,1000,250,주문진해변관광지는 주문진읍 향호리에 위치하고 넓은 백사장과 수심이 얕고 바닷물이 맑아 가족 단위 피서지에 적합한 곳임.,033-640-5685,강원특별자치도 강릉시청,2025-11-20,4201000,강원특별자치도 강릉시
옥계해변관광지,관광지,강원특별자치도 강릉시 옥계면 금진솔밭길 104-29,강원특별자치도 강릉시 옥계면 금진리 799-16,37.62673237,129.0485254,215839.0,화장실+주차장+샤워장,,,한국여성수련원,,,1980-05-28,900,180,옥계해변관광지는 깨끗하고 넓은 백사장과 오래된 송림지역을 갖추어 바라보는 경치가 매우 아름다운 곳임.,033-640-5685,강원특별자치도 강릉시청,2025-11-20,4201000,강원특별자치도 강릉시
금정산성마을,관광지,부산광역시 금정구 산성로 452,부산광역시 금정구 금성동 554-3,35.250339,129.0561338,7450.0,미술관+문화체험촌,,,,,,1994-01-01,100,100,금정산성마을은 금정산 해발 400m의 분지에 아담히 자리잡은 산성마을로 금정산 능선이 병풍처럼 둘러싸고 있는 아름다운 자연환경을 갖추고 있어 휴일이면 이곳을 찾는 등산객들의 발길이 끊이지 않는다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
부산대젊음의거리,관광지,부산광역시 금정구 장전온천천로 51,부산광역시 금정구 장전동 643-117,35.229587,129.0888177,10000.0,문화나눔터+어울마당,,,,,,2004-01-01,100,100,"청춘들의 꿈, 열정, 자유가 넘치는 부산대 젊음의 거리는 색다른 문화공연과 프리마켓 등 다양한 행사가 날마다 이어진다. 골목골목 위치한 상점에서 청춘의 열기를 느낄 수 있다.",051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
오륜대한국순교자박물관,관광지,부산광역시 금정구 오륜대로 106-1,부산광역시 금정구 부곡동 1-4,35.24570172,129.1009016,1317.0,휴게소+화장실+전시실,,,,,,1982-09-25,100,100,한국 가톨릭 순교자들의 신념을 기억하기 위해 건립된 오륜대한국순교자박물관에는 한국 순교자들의 유물뿐만 아니라 역사적 의미가 있는 자료들도 함께 전시·보존하여 더욱 의미가 있다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
요산문학관,관광지,부산광역시 금정구 팔송로 60-6,부산광역시 금정구 남산동 662,35.27236562,129.085732,1128.0,화장실+전시실+자료실,,,,,,2006-11-01,100,100,일제강점기의 잔인했던 시절 속 궁핍한 현실을 작품에 담은 요산 김정한 선생의 문학 정신과 삶을 기리는 문학관은 요산 선생의 생가와 연접해 그의 숨결을 더욱 깊이 느낄 수 있다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
한산도 제승당,관광지,경상남도 통영시 한산면 한산일주로 70,경상남도 통영시 한산면 두억리 산39,34.79264032,128.4759648,524625.0,화장실+휴게소,,,,,,1976-01-01,1600,0,"선조26년(1593년) 이순신장군이 삼도수군통제사를 제수받고 이 곳에 진영을 설치했고, 1976년 지금의 제승당과 충무사, 한산정, 수루 등을 새로 짓고 경내를 정화하여 오늘에 이름.",055-254-4483,경상남도청,2025-02-13,5330000,경상남도 통영시
한려수도조망케이블카,관광지,경상남도 통영시 발개로 205,경상남도 통영시 도남동 349-1,34.82665041,128.4251243,34106.0,화장실+카페+음식점+휴게공간,,,,,,2008-04-18,10000,286,"통영 미륵산에 설치된 한려수도 조망 케이블카는 한국에서 유일한 2선(bi-cable) 자동순환식 곤돌라 방식으로 스위스의 최신기술에 의해 설치되었으며, 그 길이도 1975m로 국내 일반관광객용 케이블카 중에서는 가장 길다. 특히, 그렇게 긴 길이에도 불구하고 친환경적인 설계에 의해 중간지주는 1개만 설치하여, 환경보호는 물론 탑승객에게 아주 편안한 승차감을 제공한다. 또한, 8인승 곤돌라 48대가 연속적으로 탑승객을 운송함으로써 지체 없이 탑승이 가능하며, 가까운 사람끼리 오붓하게 아름다운 한려수도의 경치를 감상할 수 있다.",055-649-3804,경상남도 통영시 통영관광개발공사,2025-02-13,5330000,경상남도 통영시
영도관광안내센터,관광지,부산광역시 영도구 봉래나루로 79,부산광역시 영도구 봉래동1가 1,35.09454127,129.0387847,305.18,화장실+주차장,,,,,,2016-09-02,300,2,부산의 새로운 관광명소로 각광받고있는 영도대교의 도개모습을 감상하고 영도관광에 필요한 종합서비스를 제공받을 수 있다.,051-419-4048,부산광역시 영도구청 문화관광과,2025-02-04,3280000,부산광역시 영도구
용호 Sea-Side 관광지,관광지,,부산광역시 남구 용호동 산205,35.1004511779,129.1185343066,143626.0,주차장+화장실 등 예정,,,,,,2006-05-24,0,0,현재 관광지 조성계획 승인 단계,051-607-5612,부산광역시 남구청,2025-01-23,3310000,부산광역시 남구
소래역사관,관광지,인천광역시 남동구 아암대로 1605(논현동),,37.39816347,126.7375992,1234.0,화장실,,,,,,2012-06-29,100,0,소래의 역사와 문화 그리고 아름다운 옛모습을 보존하고자 2012년 6월에 개관한 남동구 최초의 공립박물관,032-453-2140,인천광역시 남동구청,2025-11-28,3530000,인천광역시 남동구
춘천호반(삼악산),관광지,강원특별자치도 춘천시 서면 경춘로 1401-25,강원특별자치도 춘천시 서면 덕두원리 118-6,37.825714,127.659368,3305373.0,도로+매표소+주차장+화장실 2동+오수처리장,,등선폭포,삼악산+전망대,,,1969-01-21,606,202,"삼악산은 시내에서 서울방면으로 약 10km 지점에 있으며 매표소에서 계곡을 따라 오르다 보면 등선폭포, 비선폭포, 승학폭포, 백련폭포등 크고 작은 5개의 폭포가 나타난다.높이가 약10m에 이르는 제1폭포에서 제3폭포까지는 난간의 계단길을 통해서 올라갈 수 있게 만들어 놓아 자연의 웅장한 신비를 바로 눈 앞에서 바라볼 수 있도록 해 놓았다.산세가 크고 웅장하지는 않지만 이 산을 형성하고 있는 용화봉과 청운봉, 등선봉의 3개 봉우리에서 뻗어 내린 능선이 암봉으로 이루어져 절경을 이룬다.삼악산에는 흥국사, 상원사등 7개의 사찰과 삼악산성이 있고 등산로를 따라 오르면 해발 654m 높이의 정상에 이르며, 정상에서는 의암호의 아름다운 경관과 춘천시가지가 한눈에 내려다보인다. 정상에서 보아 흥국사 건너편 산이 등선봉인데 이곳은 옛날 맥국때 쌓았다는 삼악산성 성곽과 대궐터가 남아 있다.",033-250-3692,강원특별자치도 춘천시청,2025-11-12,4181000,강원특별자치도 춘천시
구곡폭포,관광지,강원특별자치도 춘천시 남산면 강촌구곡길 254,강원특별자치도 춘천시 남산면 강촌리 432,37.797033,127.615852,2423000.0,관리사무소+주차장+공중화장실 2동+도로,국민여가캠핑장,구곡폭포,구곡폭포+야영장+문배마을 트레킹코스,관광식당,,1981-02-13,3800,242,"봉화산 근처 아홉구비를 돌아 떨어지는 구곡폭포와 탄성을 자아내는 하늘벽 바위 등 자연경관이 출중한 곳이며, 깔닥재를 넘으면 자연부락인 문배마을까지 볼 수 있다.",033-250-3717,강원특별자치도 춘천시청,2025-11-12,4181000,강원특별자치도 춘천시
다리안관광지,관광지,충청북도 단양군 단양읍 소백산등산길 12,충청북도 단양군 단양읍 천동리 409,36.9647819,128.4207808,153835.0,화장실+주차장,돔하우스+통나무집+캠핑장,원두막+야영장+돔하우스+캠핑장,,,,1984-11-28,2000,155,돔하우스+원두막 등을 이용할 수 있는 곳입니다,043-423-1243,단양관광공사,2025-12-02,4480000,충청북도 단양군
천동관광지,관광지,충청북도 단양군 단양읍 다리안로 520,충청북도 단양군 단양읍 천동리 201,36.97401141,128.4165952,26594.0,화장실+주차장,야영장,물놀이장+천동동굴,,,,1984-11-28,2000,80,물놀이장+캠핑장+천동동굴이 있습니다,043-423-3589,단양관광공사,2025-12-02,4480000,충청북도 단양군
온달관광지,관광지,충청북도 단양군 영춘면 온달로 23,충청북도 단양군 영춘면 하리 147,37.06295564,128.4929221,97567.0,화장실+주차장,,드라마세트장+온달동굴,온달전시관,,,1994-09-06,2000,265,온달 전시관+온달산성+온달 동굴 등 명승지를 모아놓은 곳입니다,043-423-8820,단양관광공사,2025-12-02,4480000,충청북도 단양군
장림포구,관광지,부산광역시 사하구 장림로93번길 74(장림동),부산광역시 사하구 장림동 1092,35.08037994,128.95569762,130000.0,화장실+주차장,,놀이촌,문화촌,맛술촌,해양보호구역 홍보관,2019-04-24,130000,100,배가 드나드는 강의 어귀로 조선시대 군사요충지였으며 부네치아라 불림,051-220-4501,부산광역시 사하구청,2025-12-12,3340000,부산광역시 사하구
금강공원,관광지,부산광역시 동래구 우장춘로 155 (온천동),부산광역시 동래구 온천동 291-1,35.21962513,129.075758,3093953.0,관리사무소+화장실+주차장,,,,,,1940-11-10,10000,216,"울창한 숲과 기암절벽, 골짜기 마다 흐르는 맑은 시냇물 등이 신선경에 들어선 느낌을 주며, 봄철부터 겨울철에 이르기까지 인적이 끊이지 않는 근린공원으로서 남녀노소 누구나가 즐길 수 있는 휴식처로 사랑을 받고 있다",051-860-7880,부산시설공단,2025-06-24,3300000,부산광역시 동래구
박차정의사생가,관광지,부산광역시 동래구 명륜로 98번길 129-10(칠산동),부산광역시 동래구 칠산동 319-1,35.20169645,129.090397,379.0,화장실,,,,,,2005-07-08,50,0,"박차정의사 생가 복원사업은 항일독립운동가이자 한국여성해방운동의 선구자인 박차정의사의 남편 김원봉(임시정부국무위원, 북한노동상, 국가검열상)의 사회주의적 성향으로 군사정부시절 대우를 받지 못하다가 1995년 광복 40주년에 문민정부로부터 “대한민국 건국훈장 독립장”을 추서받은 지 10년만인 2005년 7월 8일 완공하였다.",051-860-7880,동래구 문화시설사업소,2025-06-24,3300000,부산광역시 동래구
장영실과학동산,관광지,부산광역시 동래구 동래역사관길 18(복천동),부산광역시 동래구 복천동 1-2,35.20916308,129.0896688,1177.0,화장실(2동),,,,,,2009-10-15,10000,50,"동래출신 조선시대 세종당시 최고의 과학자인 장영실이 만든 세계최고의 옛 천문의기 18종 19점을 동래읍성북문광장 1,177㎡에 시비 5억을 투입하여 2009. 6. 16.부터 2009.10.15.까지 4개월에 걸쳐 사업을 완료하였다.",051-550-6604,동래구 문화시설사업소,2025-06-24,3300000,부산광역시 동래구
우장춘기념관,관광지,부산광역시 동래구 우장춘로62번길 7(온천동),부산광역시 동래구 온천동 850-48,35.213515,129.0720181,1241.0,화장실,,,,,,1999-10-21,100,2,씨 없는 수박으로 우리 모두에게 잘 알려진 세계적 육종학자인 故우장춘박사의 탄생 1백주년을 맞아 그의 생전 연구 활동 유적지,051-550-6602,동래구 문화시설사업소,2025-06-24,3300000,부산광역시 동래구
설악한화리조트,관광단지,강원특별자치도 속초시 미시령로 2983번길 111,강원특별자치도 속초시 장사동 24-1,38.21030036,128.5287214,1332578.0,주차장+배수지+변전소+도로,휴양콘도미니엄4,플라잉폭스+골프장,온천장+레이크가든,,,2010-10-08,10000,2000,"천연 온천수를 이용한 온천시설과 물놀이 시설을 갖춘 종합 테마파크이며, 설악 워터피아 등 다양한 부대시설은 완비하고 있다.",033-639-2544,강원특별자치도 속초시청,2025-06-25,4231000,강원특별자치도 속초시
척산온천,관광지,강원특별자치도 속초시 관광로 327,강원특별자치도 속초시 노학동 972-1,38.19020313,128.5407019,154743.0,도로+주차장,호텔+아쿠아훼미리호텔+온천호텔+채플+pool빌라,,설악예방의학센터+월드스파+푸드코드+키즈캠프+레스토랑/카페동,,,2009-05-20,1100,350,"1971년 설립된 온천장으로 지하 4,000km 심도에서 발생한 온천수를 이용하며 설악산과 근접한 위치에 자리잡고 있다.",033-639-2544,강원특별자치도 속초시청,2025-06-25,4231000,강원특별자치도 속초시
속초해수욕장,관광지,강원특별자치도 속초시 해오름로 186,강원특별자치도 속초시 조양동 1464-7,38.19014884,128.6035305,231748.3,관리사무소+샤워탈의장+공중화장실+도로+주차장,리조트단지(호텔/콘도),해수풀장,해양관+휴게소+전망대+테마거리+조경휴양공간+다목적잔디광장,,,1984-07-06,50000,550,"해안선 길이 약2km, 백사장 길이 약 500m이며 수심이 얕아 가족단위 관광객이 선호하는 속초시 대표 관광지이다.",033-639-2544,강원특별자치도 속초시청,2025-06-25,4231000,강원특별자치도 속초시
달맞이동산지구,관광지,부산광역시 해운대구 달맞이길 190,부산광역시 해운대구 중동 산 42-25,35.15768146,129.1825429,85.845,공중화장실 2동+관리사무소 1동+광장+도로+주차장,,,망월정 1동,,,1988-07-19,700000,76,"벚나무와 송림이 울창하게 들어찬 오솔길로 드라이브 코스로 유명하다. 달맞이 고개 일대에서는 다양한 예술작품을 만날 수 있고, 특히 보름날 달빛에 어우러진 바다 정취는 데이트 코스로 유명하다.",051-749-4081,부산광역시 해운대구청,2025-01-01,3330000,부산광역시 해운대구
해운대해수욕장,관광지,부산광역시 해운대구 해운대해변로 264,부산광역시 해운대구 우동 620-3,35.15910698,129.1602838,115.944,도로+광장+공중화장실 4동+주차장 1개소+관리사무소 1동+변전실 1동,,,해저  테마수족관,,,1988-07-19,800000,203,6월부터 9월까지 해수욕장을 개장하여 해수욕을 즐길 수 있다. 수심이 얕고 조수의 변화가 심하지 않아 해마다 천만 명이 넘는 피서색이 찾는다. 또한 매년 해수욕장 개장에 맞춰 다양한 행사와 축제가 개최된다,051-749-4081,부산광역시 해운대구청,2025-01-01,3330000,부산광역시 해운대구
한국이슬람부산성원,관광지,부산광역시 금정구 금단로 113-13,부산광역시 금정구 남산동 30-1,35.25998626,129.0922564,2022.0,화장실,,,,,,1980-09-30,100,100,"부산의 유일한 한국이슬람 부산성원은 이슬람 신자들에게는 네트워킹 장이자 쉼터로, 지역민들에게는 이슬람 문화를 체험하고 강연을 접할 수 있는 장소로 자리 잡고 있다.",051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
스포원파크,관광지,부산광역시 금정구 체육공원로399번길 324,부산광역시 금정구 두구동 1641,35.28912108,129.1070434,30000.0,주차장+화장실,,,,,,2014-01-01,100,100,스포원파크는 기존의 경기장과는 달리 ‘공원’과 ‘개방’의 개념을 도입한 ‘공원형 경기장’으로서 쾌적한 환경여건을 가지고 있어 건강과 휴식을 위한 명소로 사랑받고 있다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
서동미로시장,관광지,부산광역시 금정구 서동로141번길 16,부산광역시 금정구 서동 341-10,35.21586987,129.102466,20000.0,서동예술창작공간+쉼터+작은도서관+하늘정원,,,,,,2014-01-01,100,20,서동미로시장은 아름다운 길(美路)이라는 의미이자 골목마다 형성된 상권이 미로같다 하여 이름 붙은 문화관광형 시장이다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
회동수원지,관광지,부산광역시 금정구 오륜대로258,부산광역시 금정구 오륜동 353-2,35.24707332,129.115753,2017.0,정자+수변데크,,,,,,2010-01-01,100,20,"조선시대부터 아름다운 풍경으로 유명한 회동수원지는 금정구를 대표하는 도심 속 힐링 명소이다. 땅뫼산 황토숲길, 편백나무숲, 오륜대 전망대는 일상 속 휴식처가 되어 준다.",051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
범어사,관광지,부산광역시 금정구 범어사로 250,부산광역시 금정구 청룡동 546,35.28304308,129.0676212,3513.0,화장실+주차장+명상공간+체육시설,,,,,,1966-01-01,100,100,범어사는 역사적으로 많은 고승대덕을 길러내고 선승을 배출한 수행사찰로 오랜 전통과 많은 문화재가 보존되어 있는 한국 불교계의 중심지 중 하나이다.,051-519-4085,부산광역시 금정구 문화관광과,2025-11-18,3350000,부산광역시 금정구
서포리관광지,관광단지,인천광역시 옹진군 덕적면 덕적남로606번길 3,인천광역시 옹진군 덕적면 서포리 229-23,37.2232919,126.1169337,228769.0,관리사무소+오수처리장+샤워장+도로+주차장+화장실,펜션,,오토캠핑장,,,1977-03-31,100,20,"100년이 넘는 노송이 울창한 숲을 이루고 있고 완만한 경사와 넓이 300m 길이 3km의 넓은 백사장은 매년 10만 명이 넘는 관광객들의 휴식처가 되고 있는 곳이다. 200여 년은 족히 됐다는 소나무 8백여 본이 심어져 있는 소나무 숲은 단체야영에 제격이다. 거기에 넓은 운동장, 바닷가 놀이터, 테니스장, 음식점, 노래방, 자전거 대여소도 있으니 웬만한 레저시설은 다 준비되어 있는 셈이다. 주변의 갯바위에서는 우럭과 놀래미가 잘 잡혀 바다 낚시를 즐기는 관광객들의 발길이 끊이지 않고 있다.",032-899-2254,인천광역시 옹진군청,2025-07-03,3580000,인천광역시 옹진군
달음산자연휴양림,관광지,부산광역시 기장군 일광읍 화용길 299-106,부산광역시 기장군 용천리 산252,35.291977,129.213303,30000.0,화장실+주차장,관광숙박시설,산책로+운동시설,숲 체험공간,안내센터,,2013-01-24,150,50,"달음산 서쪽 자락에 위치하고 있으며, 부산시 최초의 국립 자연휴양림으로 산과 바다를 모두 즐길 수 있는 최적의 휴양림이다. 휴양림에서는 숙박은 물론, 숲 해설 프로그램과 목공예 체험 활동이 가능하다",051-722-3023,산림청,2025-06-17,3400000,부산광역시 기장군
박태준기념관,관광지,부산광역시 기장군 장안읍 임랑해안길 1,부산광역시 기장군 장안읍 임랑리 120-3,35.316877,129.261226,951.31,화장실 +주차장+도서관,,산책로,도서관+기념관 전시실,안내데스크,,2021-12-14,500,9,대한민국 근현대사에 큰 족적을 남긴 청암 박태준의 업적을 기리고 그의 철학과 사상을 엿볼수있다 2021년 대한민국 공간문화대상을 수상하며 지역의 아름다운 공간으로 인정받았으며 수준높은 문화 콘텐츠를 제공하는 문화예술의 장으로도 사랑받고 있다,051-709-4089,부산광역시 기장군청,2025-06-17,3400000,부산광역시 기장군
죽성드림세트장,관광지,,부산광역시 기장군 기장읍 죽성리 134-7,35.24113258,129.2479302,207.48,화장실(2동) +주차장,,산책로+포토존,관광홍보전시관,안내데스크,,2017-03-09,500,20,죽성리 바닷가에 세워진 드라마 세트장이다. 드림세트장은 유럽의 건축물을 옮겨놓은 듯한 이국적 분위기로 많은 여행객이 찾는다 세트장 근처에 고산윤선도 선생이 귀양살이를 하면서 가끔 찾아 시를 읊펴다는 황학대가 있으며 300년 이상된 죽성리 해송이 있다 죽성 드림세트장 에오면 죽성리 바다를 한눈에 조망할수있다,051-709-4081,부산광역시 기장군청,2025-06-17,3400000,부산광역시 기장군
장태산휴양림,관광지,대전광역시 서구 장안로 461,대전광역시 서구 장안동 259,36.21596913,127.3412778,815855.0,Y,N,Y,Y,N,Y,2019-01-01,2000,472,Y,042-270-7883,Y,2021-10-27,6300000,대전광역시
대청호반,관광지,대전광역시 대덕구 대청로 607,대전광역시 대덕구 미호동 57,36.47362538,127.4735679,72800.0,Y,N,Y,Y,N,Y,2019-01-01,3000,0,Y,042-930-7240,Y,2021-10-27,6300000,대전광역시
계족산황톳길,관광지,대전광역시 대덕구 장동로 59,대전광역시 대덕구 와동 2-1,36.40406651,127.4297932,54000.0,Y,N,Y,Y,N,Y,2019-01-01,3000,25,Y,042-623-9909,Y,2021-10-27,6300000,대전광역시
한밭수목원,관광지,대전광역시 서구 둔산대로 169,대전광역시 서구 만년동 396,36.36646857,127.3880154,387000.0,Y,N,Y,Y,N,Y,2019-01-01,3000,465,Y,042-270-8464,Y,2021-10-27,6300000,대전광역시
엑스포과학공원,관광지,대전광역시 유성구 대덕대로 480,대전광역시 유성구 도룡동 3-1,36.37662561,127.3871992,130000.0,Y,N,Y,Y,N,Y,2019-01-01,2000,200,Y,042-250-1111,Y,2021-10-27,6300000,대전광역시
뿌리공원,관광지,대전광역시 중구 뿌리공원로 79,대전광역시 중구 침산동 364,36.28537962,127.3883000376,125000.0,Y,N,Y,Y,N,Y,2019-01-01,3000,447,Y,042-228-8310,Y,2021-10-27,6300000,대전광역시
오월드,관광지,대전광역시 중구 사정공원로 70,대전광역시 중구 사정동 142,36.28749807,127.3985061,783000.0,Y,N,Y,Y,N,Y,2019-01-01,3000,1913,Y,042-580-4820,Y,2021-10-27,6300000,대전광역시
화원관광지,관광지,대구광역시 달성군 화원읍 사문진로1길40-14,대구광역시 달성군 화원읍 성산리 310,35.8127712325,128.4806365248,207720.0,관리사무소+화장실+주차장,,,관광유람선+동물원+체험관,,,2019-05-01,5000,146,도심 속 자연을 느끼고 낙동강변 경관을 감상할 수 있는 관광지,053-668-8294,대구광역시 달성군청,2025-06-23,3480000,대구광역시 달성군
